id,name,gender,birth_month,registration_fee
206,PORK ,F,Sep-2011,104.0
207,LULU ,F,Apr-2010,301.0
208,DINO ,M,Nov-2003,304.0
209,GRIBETZ ,M,Dec-2009,302.0
210,AUGIE,M,Sep-2008,302.0
211,DAISY ,F,Jan-2003,318.0
212,KINLEY,F,May-2012,402.0
213,MURPHY,M,Dec-2010,208.0
214,ROCKO,M,Feb-2013,111.0
215,WENDELL,M,May-2011,107.0
216,RANGER,M,Jun-2014,410.0
217,MOJEAU ,M,Feb-2009,104.0
218,SHASHI,F,Apr-2009,108.0
219,TOBY,M,Jun-2012,112.0
220,CODY ,M,Nov-2012,103.0
221,BRIAN,M,Oct-2012,109.0
222,DEXTER ,M,Jan-2013,112.0
223,ARCHIE,F,Sep-2011,109.0
224,AJA,F,Aug-2010,208.0
225,AJAXX,M,Jul-2014,301.0
226,OLIVER,M,Dec-2012,104.0
227,GINNY,F,Sep-2004,106.0
228,LOKI,F,Jul-2014,306.0
229,FINLEY,M,Oct-2013,306.0
231,BARNEY,M,Jun-2004,107.0
232,KYLA,F,Apr-2012,310.0
234,WENDY,F,Sep-2011,106.0
235,CHARLIE,M,Mar-2010,204.0
237,BENNIE,M,Feb-2010,208.0
238,BECK,M,Aug-2012,109.0
239,BELLA,F,May-2007,412.0
240,DUKE,M,Jan-2012,503.0
241,SASHA,F,Oct-2012,102.0
242,COCO,F,Sep-2012,405.0
243,KODIE,M,Jan-2012,501.0
244,COPPER,M,Mar-2007,106.0
245,DASHWOOD,M,Jun-2014,107.0
246,WYLIE,M,Aug-2010,102.0
247,OLIVER,M,Mar-2014,302.0
248,SPIKE,M,Aug-2012,107.0
249,PEBBLE,F,Aug-2012,301.0
250,LOUIE,M,Feb-2008,401.0
251,DAYO,M,Dec-2011,502.0
252,DARCY ,F,Apr-2010,102.0
253,KUMBUKA,F,Jan-2010,502.0
254,JAKE ,M,Oct-2013,110.0
255,MCHUMBA,M,Aug-2012,502.0
256,HUNDLEY,M,Oct-2012,401.0
257,TIKUIOE,M,Jul-2014,404.0
258,PRINCESS,F,Jan-2008,414.0
259,MADDIE,F,May-2007,208.0
260,RAYE,F,Sep-2008,401.0
261,RICKY ,M,Jan-2003,104.0
262,UMA,F,Jan-2009,204.0
263,LUCY ,F,Oct-2012,306.0
264,SIMBA,M,May-2012,413.0
265,MAXIMUS,M,Aug-2010,301.0
266,JAKE,M,May-2012,110.0
267,MIDNITE,M,Mar-2008,111.0
268,LEO ,M,Jun-2010,302.0
269,WINSTON ,M,Nov-2013,108.0
270,OONA ,F,Jan-2013,108.0
271,OZ ,M,Feb-2013,108.0
272,FRANNY,F,Feb-2014,104.0
273,PEYTON,M,Aug-2012,107.0
274,LLOYD,M,Oct-2006,107.0
275,EZE,M,Aug-2008,103.0
277,B,F,Jul-2013,103.0
278,VALENTINA,F,Apr-2011,315.0
279,BOOMER,M,May-2013,210.0
280,MAXX ,M,Jul-2014,501.0
281,MAXI,M,Sep-2013,101.0
282,JOANIE,F,Nov-2010,310.0
283,REILY ,F,Dec-2007,309.0
284,BLUE,F,Mar-2009,312.0
285,EDDIE ,M,Sep-2011,309.0
286,QUEENIE ,F,Apr-2004,106.0
287,INDIANA,M,Aug-2013,108.0
288,LAYLA ,F,Apr-2013,108.0
289,YOSHI,F,Mar-2009,405.0
290,ZOEY,F,Nov-2012,409.0
291,BARKLEY,F,Jan-2013,306.0
292,KIWI,M,Oct-2009,408.0
293,BUDDY,M,Jun-2014,106.0
294,BUTCH,M,Dec-2012,202.0
295,ALISTAIR,M,Jun-2012,108.0
296,LOLA,F,Dec-2002,104.0
297,ADELINE,F,May-2013,105.0
298,BUDDY,M,Jun-2010,101.0
299,WILLIE,M,Feb-2009,310.0
300,DASHIELL ,M,Jan-2001,302.0
301,BOURNE,M,Jun-2014,302.0
302,SEAVER,M,May-2013,401.0
303,SENSATION,F,Apr-2014,111.0
304,SIMBA ,M,Apr-2014,405.0
305,TEMPTATION,M,Apr-2014,111.0
306,MAGGIE,F,Jun-2009,310.0
307,BETSY ,F,Mar-2006,108.0
308,BLU,M,Jun-2014,308.0
309,REMY,M,Jul-2011,407.0
310,TUNA,F,Aug-2005,304.0
311,BEAR,M,Aug-2013,306.0
312,CHARLY,M,May-2009,313.0
313,CHEWY ,M,Jan-2003,501.0
314,CHITO,M,Apr-2008,107.0
315,JASMINE ,F,Nov-2007,502.0
316,SCOUT,F,Jan-2013,106.0
317,DANNY,M,Jun-2006,208.0
318,DAKOTA,F,Nov-2013,107.0
319,ZAI ,M,Oct-2010,304.0
320,COOKIE,F,Mar-2007,301.0
321,GRACIE ,F,Jan-2002,502.0
322,NUCKY ,F,Nov-2012,301.0
323,ANGEL,M,Sep-2008,301.0
324,LILY,F,Apr-2007,405.0
325,SWEETIE,F,Jan-2011,313.0
326,SPENCER,F,Mar-2014,306.0
327,SKIPPY,M,Aug-2004,307.0
328,BANDIT,M,Jul-2014,104.0
330,DAX,M,Sep-2009,108.0
331,BROOKLYN,F,Jan-2011,102.0
332,JORDAN,F,Jun-2007,112.0
333,MAYBELLENE,F,Jan-2007,301.0
334,MIA ,F,Sep-2009,401.0
335,MARSHMALLOW,F,Aug-2003,108.0
336,TRAVIS,M,Sep-2007,101.0
337,PRINCE,M,Feb-2011,310.0
338,BENJAMIN,M,Aug-2014,101.0
339,BEEZIE,F,Apr-2013,102.0
340,HENDRIX,M,Jul-2012,406.0
341,CLARA,F,Jul-2012,303.0
342,WAXEY ,M,Mar-2009,110.0
343,ROO,F,Dec-2013,104.0
345,OTIS,M,Dec-2011,306.0
346,ALEX,M,Dec-2011,107.0
347,DELILAH ,F,May-2007,107.0
348,LAYLA ,F,May-2011,104.0
349,ZAPPA ,M,Apr-2008,302.0
350,ZOEY ,F,Dec-2007,311.0
351,NIKKO,M,May-2010,101.0
352,MURPHY,M,May-2012,105.0
353,WATSON,M,May-2013,308.0
354,MOJO,M,May-2010,301.0
355,SCOOBY,F,Jul-2013,210.0
356,SASHA,F,Jun-2008,313.0
357,BIANCO,M,Mar-2008,401.0
358,RIVER,F,May-2013,102.0
359,LUNA,F,Jan-2012,110.0
360,ELLA,F,May-2012,107.0
361,BENDELS,M,Jun-2005,107.0
362,DOORY,M,Mar-2011,401.0
363,POLLY,F,Jun-2013,104.0
364,LUNA,F,Apr-2012,201.0
365,TOOTSIE,F,Sep-2008,405.0
366,BETSY ,F,May-2011,406.0
367,CHANTILLY,F,Dec-2012,409.0
368,MILES ,M,Dec-2009,108.0
369,CLIFFORD,M,Jan-2005,411.0
370,ROXY,F,Oct-2008,408.0
371,VOLTAIRE,M,Jun-2010,308.0
372,DODGER,M,Feb-2010,101.0
373,DIESEL,M,Jun-2010,302.0
374,BOOMER,F,Dec-2011,402.0
375,PENNY ,F,Nov-2012,103.0
376,PHOENXI,F,Jun-2006,108.0
377,FRANKIE,F,Sep-2013,107.0
378,FELLA,M,Jul-2003,107.0
379,FEE-FI ,F,Nov-2009,107.0
380,AJ ,M,Feb-2012,108.0
381,AMY ,F,Apr-2001,107.0
382,CASH,M,Jul-2008,107.0
383,OLIVIA,F,Mar-2008,110.0
384,DIZZY,M,Mar-2012,107.0
385,XIAO ,F,Aug-2007,101.0
386,BARKLEY ,F,Mar-2014,108.0
387,COOKIE,M,Jun-2014,501.0
388,CYPHA,M,Oct-2006,204.0
389,WALLY ,M,Mar-2009,311.0
390,JASPER ,M,Dec-2010,203.0
391,COCO,F,Dec-2011,108.0
392,MAX,M,Apr-2012,108.0
393,HUMPHREY,M,May-2013,106.0
394,CHARLIE,M,Nov-2013,107.0
395,BODHI,M,May-2005,306.0
396,RAMIRO,M,May-2014,111.0
397,REGGIE,M,Dec-2009,310.0
398,TUCKER,M,Aug-2006,304.0
399,DUDLEY ,M,Jan-2003,107.0
400,LUCKY,M,Oct-2013,401.0
401,TOBY,M,May-2011,107.0
402,BENZO,M,Jan-2006,108.0
403,SHADOW,F,Jul-2004,306.0
404,PERLA ,F,Jan-2004,208.0
405,LEROY,M,Mar-2010,102.0
406,TALULLAH ,F,Aug-2014,302.0
407,SORU,M,Dec-2010,308.0
408,SHADOW ,M,Nov-2012,314.0
409,MAX,M,Feb-2013,407.0
410,BEAR ,M,Jan-2013,109.0
411,BONACKER,M,Apr-2008,107.0
412,HERMAN,M,Nov-2012,407.0
413,RO ,F,Mar-2009,308.0
414,ELLIE,F,Jan-2010,401.0
415,SAMMY,M,Nov-2007,109.0
416,IVY,F,Oct-2004,108.0
417,CHEWBACCA,M,May-2014,311.0
418,HUMFREY ,M,Jun-2009,108.0
419,JUNE ,F,Sep-2011,401.0
420,GOBI ,M,Jun-2014,108.0
421,OSCAR,M,Mar-2012,401.0
422,GIBBY,M,Aug-2014,107.0
423,LOUIS,M,Nov-2000,107.0
424,ZACK,M,Jun-2010,108.0
425,BAILEY,F,Oct-2006,104.0
426,ROXIE,F,Mar-2007,108.0
427,ROMEO,M,May-2007,106.0
428,GIZMO,M,Dec-2003,107.0
429,SASHA,F,Jan-2002,315.0
430,MADELINA,F,Apr-2012,112.0
431,BETTY,F,Sep-2012,304.0
432,LYDIA,F,Dec-2011,102.0
433,EMMY ,F,Jun-2014,503.0
434,BARTHOLOMEW ,M,Aug-2007,302.0
435,JJYODAA,M,Mar-2010,502.0
436,JENNY,F,Oct-2012,503.0
437,ME ,F,Jan-2004,412.0
438,SAM,M,Nov-2007,409.0
440,CARLY ,F,Jun-2014,503.0
442,LOLA,F,Aug-2008,501.0
443,LEXY ,F,Dec-2006,104.0
444,NAKIA,F,Jul-2012,110.0
445,BACON,M,Feb-2001,103.0
446,BRIX,F,Aug-2006,101.0
447,FRITZ,M,Aug-2005,106.0
448,SOFIE,F,Jun-2013,308.0
449,MILEY,M,Jun-2007,105.0
450,BLU,F,Jan-2009,105.0
451,LUKE,M,Feb-2012,107.0
452,PUFFY,F,Mar-2002,111.0
453,ELVIS,M,Feb-2009,111.0
454,RAWLY,M,Jun-2001,107.0
455,HARLEY,F,Jun-2012,212.0
456,CHESTER,M,May-2008,406.0
457,GUINNESS,M,Apr-2012,405.0
458,STELLA,F,Mar-2010,111.0
459,SWEEPEA ,F,Nov-2013,310.0
460,TACO,M,Feb-2014,211.0
461,CUPCAKES,F,Jan-2011,111.0
462,ROCKY,M,Mar-2013,401.0
463,ROOSEVELT,M,Apr-2012,405.0
464,ROSIE,F,Jun-2013,212.0
465,ROSS,M,Jul-2014,308.0
466,ZOE,F,Apr-2014,104.0
467,KITA,F,Jul-2014,301.0
468,BARKLEY,F,Aug-2010,108.0
469,BUDDY,M,Jul-2013,405.0
470,CASSIE,F,Mar-2011,301.0
471,TITUS,M,Jan-2013,303.0
472,MELODY ,F,Oct-2007,107.0
473,BEANS,M,Apr-2011,112.0
474,HATCHI,M,Feb-2011,109.0
475,HENRIK,M,May-2009,411.0
476,REESE,F,Oct-2009,105.0
477,ONYX,M,Aug-2009,404.0
478,LOCA,F,Dec-2009,106.0
479,BROOKE,F,Jan-2009,303.0
480,WILLIS,M,Jun-2010,310.0
481,KOKO ,F,May-2013,211.0
482,ODIE ,M,Dec-2010,104.0
483,MAX,M,Oct-2008,301.0
484,BENNY,M,Sep-2008,102.0
485,MAGICK,M,Jun-2010,312.0
486,DULCE,F,Mar-2009,404.0
487,LUNA,F,Mar-2010,306.0
488,TIGER,M,Jul-2010,407.0
489,SAM ,M,May-2008,310.0
490,HOWARD,M,Jun-2012,303.0
